0,34.96,-0.003,-0.015,1.010,-0.01,0.06,-0.12,-181.22,350.70,60.84,0.3,4.156,99
100,35.17,0.007,-0.009,1.011,-0.18,0.19,-0.20,-176.41,357.28,64.92,0.3,4.155,99
200,35.04,-0.001,-0.009,1.010,-0.11,0.18,-0.10,-174.25,347.26,68.06,0.4,4.154,99
300,34.95,0.005,-0.013,1.014,-0.10,0.10,-0.36,-178.71,345.94,66.90,0.5,4.155,99
400,35.01,0.002,-0.006,1.008,-0.03,0.20,-0.32,-184.12,353.01,62.53,0.4,4.154,99
500,35.09,0.000,-0.004,1.009,-0.01,-0.10,-0.27,-167.51,357.72,62.08,0.1,4.154,99
600,35.12,0.002,-0.012,1.008,0.29,0.06,-0.37,-181.09,356.09,64.24,0.4,4.154,99
700,35.10,0.000,-0.007,1.009,-0.33,0.09,-0.08,-178.55,358.59,66.89,0.3,4.153,99
799,35.10,-0.001,-0.012,1.008,-0.42,-0.42,-0.14,-170.11,357.63,67.68,0.3,4.153,99
899,35.05,0.002,-0.006,1.013,-0.25,-0.34,-0.35,-169.57,348.07,67.28,0.4,4.155,99
999,35.14,-0.001,-0.009,1.012,0.07,0.00,-0.18,-172.59,362.85,64.29,0.2,4.154,99
1099,35.10,0.002,-0.009,1.006,-0.01,-0.25,-0.47,-173.96,346.60,67.84,0.1,4.154,99
1200,35.08,-0.002,-0.007,1.007,0.02,0.32,-0.62,-175.17,350.04,68.96,0.2,4.155,99
1300,35.09,0.001,-0.008,1.007,0.42,0.06,-0.43,-178.74,351.57,61.43,0.1,4.153,99
1400,35.22,-0.001,-0.009,1.008,0.14,0.02,-0.17,-173.87,354.79,68.51,0.2,4.155,99
1500,35.15,0.000,-0.010,1.011,0.14,-0.08,-0.44,-171.39,352.93,67.50,0.4,4.152,99
1600,35.16,0.005,-0.007,1.008,-0.23,0.32,-0.01,-169.80,359.34,67.88,0.4,4.155,99
1700,35.20,0.000,-0.016,1.013,-0.06,0.30,-0.47,-177.44,354.40,65.77,0.6,4.154,99
1800,35.32,0.002,-0.012,1.006,0.19,0.06,-0.39,-169.16,349.86,63.19,19.5,4.154,99
1900,35.18,0.001,-0.006,1.009,0.09,0.16,-0.29,-170.87,360.50,63.73,0.2,4.155,99
2000,35.22,0.001,-0.009,1.011,0.05,0.11,-0.17,-177.90,353.08,62.04,0.4,4.154,99
2100,35.16,0.004,-0.011,1.011,-0.10,0.03,-0.49,-167.98,361.50,61.45,0.2,4.154,99
2200,35.19,0.008,-0.004,1.008,-0.09,0.02,-0.22,-175.72,356.23,63.55,0.2,4.155,99
2300,35.25,-0.002,-0.007,1.012,0.17,-0.24,0.01,-175.60,348.41,62.65,0.1,4.155,99
2400,35.33,-0.001,-0.007,1.009,0.27,-0.06,-0.35,-158.96,351.19,64.24,0.6,4.154,99
