timestamp_ms,temperature_c,acc_x_g,acc_y_g,acc_z_g,gyr_x_dps,gyr_y_dps,gyr_z_dps,mag_x_ut,mag_y_ut,mag_z_ut,mic_level,bat_voltage_v,bat_percent
614345,42.36,0.0,-0.009,1.011,-0.18,0.18,-0.24,-173.46,363.26,62.34,0.1,4.166,100
614448,42.34,-0.001,-0.009,1.012,-0.24,0.18,-0.31,-179.46,375.25,11.37,0.1,4.166,100
614551,42.34,-0.0,-0.007,1.01,-0.18,0.06,-0.18,-179.46,360.26,35.36,0.1,4.166,100
614654,42.35,-0.001,-0.009,1.01,-0.12,0.24,-0.24,-149.47,414.24,35.36,0.1,4.166,100
614757,42.36,0.001,-0.009,1.01,-0.24,0.24,-0.18,-155.47,354.26,14.36,0.1,4.167,100
614860,42.35,0.0,-0.008,1.01,-0.24,0.18,-0.31,-155.47,384.25,26.36,0.1,4.167,100
614963,42.35,0.002,-0.01,1.01,-0.18,0.12,-0.24,-152.47,345.27,35.36,0.1,4.167,100
615066,42.37,0.0,-0.007,1.011,-0.31,0.12,-0.31,-158.47,408.24,50.35,0.1,4.167,100
615169,42.36,-0.003,-0.009,1.01,-0.24,0.31,-0.31,-164.47,372.26,2.37,0.1,4.167,100
615272,42.36,-0.0,-0.009,1.009,-0.31,0.24,-0.24,-152.47,420.24,20.36,0.1,4.167,100
615375,42.34,-0.001,-0.009,1.01,-0.12,0.31,-0.12,-155.47,405.24,47.35,0.1,4.167,100
615478,42.39,0.0,-0.007,1.011,-0.31,0.18,-0.24,-164.47,363.26,-9.63,0.1,4.167,100
615581,42.36,-0.001,-0.008,1.011,-0.31,0.31,-0.24,-152.47,372.26,41.35,0.1,4.167,100
615684,42.36,-0.001,-0.009,1.011,-0.18,0.12,-0.31,-155.47,357.26,35.36,0.1,4.167,100
615787,42.33,-0.001,-0.008,1.01,-0.18,0.31,-0.31,-128.48,384.25,47.35,0.1,4.167,100
615890,42.39,-0.0,-0.008,1.01,-0.18,0.18,-0.31,-191.46,372.26,62.34,0.1,4.167,100
615993,42.36,-0.001,-0.008,1.01,-0.18,0.18,-0.18,-167.47,381.25,38.35,0.1,4.167,100
616096,42.34,0.001,-0.011,1.01,-0.31,0.24,-0.24,-155.47,399.24,35.36,0.2,4.167,100
616199,42.34,-0.0,-0.007,1.012,-0.24,0.0,-0.12,-155.47,390.25,38.35,0.2,4.167,100
616302,42.36,0.001,-0.007,1.01,-0.24,0.24,-0.37,-170.46,408.24,65.34,0.2,4.167,100
616405,42.33,-0.001,-0.01,1.011,-0.18,0.06,-0.24,-176.46,396.25,38.35,0.1,4.167,100
616508,42.35,-0.0,-0.009,1.011,-0.31,0.31,-0.24,-176.46,363.26,-15.62,0.2,4.167,100
616611,42.37,0.0,-0.008,1.009,-0.12,0.24,-0.18,-167.47,381.25,68.34,0.1,4.167,100
616714,42.37,-0.0,-0.009,1.01,-0.31,0.18,-0.12,-185.46,357.26,32.36,0.1,4.166,100
616817,42.36,0.0,-0.006,1.01,-0.12,0.24,-0.18,-173.46,426.23,8.37,0.1,4.166,100
616920,42.38,-0.001,-0.009,1.01,-0.24,0.18,-0.18,-161.47,360.26,62.34,0.2,4.166,100
617023,42.36,-0.003,-0.009,1.01,-0.31,0.24,-0.24,-152.47,366.26,23.36,0.1,4.166,100
617126,42.38,0.001,-0.008,1.01,-0.12,0.06,-0.06,-179.46,360.26,17.36,0.1,4.166,100
617229,42.37,-0.0,-0.009,1.009,-0.06,0.24,-0.18,-167.47,378.25,20.36,0.2,4.166,100
617332,42.4,-0.001,-0.011,1.01,-0.18,0.24,-0.24,-155.47,360.26,23.36,0.2,4.166,100
617435,42.38,0.0,-0.007,1.012,-0.31,0.06,-0.18,-149.47,333.27,17.36,0.1,4.166,100
617538,42.4,-0.0,-0.006,1.011,-0.24,0.18,-0.18,-146.47,396.25,23.36,0.1,4.166,100
617641,42.33,0.001,-0.008,1.009,-0.37,0.12,-0.24,-164.47,372.26,17.36,0.1,4.166,100
617744,42.36,0.0,-0.009,1.01,-0.24,0.18,-0.18,-170.46,366.26,35.36,0.1,4.166,100
617847,42.36,-0.001,-0.008,1.01,-0.12,0.24,-0.24,-158.47,369.26,62.34,0.1,4.166,100
617950,42.36,0.0,-0.008,1.012,-0.31,0.12,-0.12,-143.48,363.26,47.35,0.1,4.166,100
618053,42.34,0.0,-0.008,1.011,-0.31,0.18,-0.31,-182.46,408.24,26.36,0.2,4.166,100
618156,42.37,0.0,-0.006,1.01,-0.24,0.31,-0.18,-137.48,396.25,44.35,0.1,4.166,100
618259,42.36,-0.001,-0.009,1.009,-0.12,0.18,-0.31,-164.47,360.26,83.34,0.2,4.166,100
618362,42.36,-0.0,-0.01,1.011,-0.31,0.18,-0.37,-152.47,375.25,8.37,0.1,4.166,100
618465,42.37,-0.001,-0.01,1.009,-0.18,0.24,-0.24,-143.48,351.26,38.35,0.2,4.166,100
618568,42.37,-0.001,-0.011,1.01,-0.24,0.06,-0.24,-170.46,372.26,5.37,0.2,4.166,100
618671,42.37,-0.001,-0.01,1.011,-0.24,0.0,-0.18,-200.45,381.25,23.36,0.1,4.166,100
618774,42.36,-0.001,-0.009,1.01,-0.31,0.18,-0.18,-188.46,387.25,35.36,0.2,4.166,100
618877,42.37,-0.001,-0.008,1.01,-0.31,0.18,-0.18,-185.46,366.26,-3.63,0.1,4.166,100
618980,42.35,0.0,-0.008,1.008,-0.31,0.31,-0.37,-164.47,378.25,35.36,0.1,4.166,100
619083,42.35,-0.001,-0.01,1.01,-0.18,0.18,-0.12,-167.47,366.26,59.35,0.1,4.166,100
619186,42.36,-0.001,-0.007,1.008,-0.31,0.24,-0.12,-164.47,357.26,38.35,0.1,4.166,100
